"filename", "language", "JSON", "Groovy", "TypeScript", "TypeScript React", "JavaScript", "Objective-C", "XML", "C++", "Objective-C++", "Makefile", "Properties", "Java", "JSON with Comments", "Batch", "comment", "blank", "total"
"k:\Work\React-native\Bakish\Bakish\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"k:\Work\React-native\Bakish\Bakish\.prettierrc.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"k:\Work\React-native\Bakish\Bakish\.watchmanconfig", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"k:\Work\React-native\Bakish\Bakish\App.tsx", "TypeScript React", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"k:\Work\React-native\Bakish\Bakish\__tests__\App-test.tsx", "TypeScript React", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 15
"k:\Work\React-native\Bakish\Bakish\android\app\build.gradle", "Groovy", 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 31, 321
"k:\Work\React-native\Bakish\Bakish\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"k:\Work\React-native\Bakish\Bakish\android\app\src\debug\java\com\bakish\ReactNativeFlipper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 8, 6, 74
"k:\Work\React-native\Bakish\Bakish\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"k:\Work\React-native\Bakish\Bakish\android\app\src\main\java\com\bakish\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 9, 7, 41
"k:\Work\React-native\Bakish\Bakish\android\app\src\main\java\com\bakish\MainApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 14, 10, 92
"k:\Work\React-native\Bakish\Bakish\android\app\src\main\java\com\bakish\newarchitecture\MainApplicationReactNativeHost.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 20, 14, 117
"k:\Work\React-native\Bakish\Bakish\android\app\src\main\java\com\bakish\newarchitecture\components\MainComponentsRegistry.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 8, 7, 37
"k:\Work\React-native\Bakish\Bakish\android\app\src\main\java\com\bakish\newarchitecture\modules\MainApplicationTurboModuleManagerDelegate.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 10, 9, 49
"k:\Work\React-native\Bakish\Bakish\android\app\src\main\jni\Android.mk", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 12, 10, 50
"k:\Work\React-native\Bakish\Bakish\android\app\src\main\jni\MainApplicationModuleProvider.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 9, 5, 25
"k:\Work\React-native\Bakish\Bakish\android\app\src\main\jni\MainApplicationModuleProvider.h", "C++", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 6, 17
"k:\Work\React-native\Bakish\Bakish\android\app\src\main\jni\MainApplicationTurboModuleManagerDelegate.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 1, 8, 46
"k:\Work\React-native\Bakish\Bakish\android\app\src\main\jni\MainApplicationTurboModuleManagerDelegate.h", "C++", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 5, 9, 39
"k:\Work\React-native\Bakish\Bakish\android\app\src\main\jni\MainComponentsRegistry.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 5, 14, 62
"k:\Work\React-native\Bakish\Bakish\android\app\src\main\jni\MainComponentsRegistry.h", "C++", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 9, 33
"k:\Work\React-native\Bakish\Bakish\android\app\src\main\jni\OnLoad.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"k:\Work\React-native\Bakish\Bakish\android\app\src\main\res\drawable\rn_edit_text_material.xml", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 23, 3, 37
"k:\Work\React-native\Bakish\Bakish\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"k:\Work\React-native\Bakish\Bakish\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 3, 10
"k:\Work\React-native\Bakish\Bakish\android\build.gradle", "Groovy", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 54
"k:\Work\React-native\Bakish\Bakish\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 26, 9, 41
"k:\Work\React-native\Bakish\Bakish\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"k:\Work\React-native\Bakish\Bakish\android\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 22, 90
"k:\Work\React-native\Bakish\Bakish\android\settings.gradle", "Groovy", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"k:\Work\React-native\Bakish\Bakish\app.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"k:\Work\React-native\Bakish\Bakish\babel.config.js", "JavaScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"k:\Work\React-native\Bakish\Bakish\index.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 10
"k:\Work\React-native\Bakish\Bakish\ios\BakishTests\BakishTests.m", "Objective-C", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 67
"k:\Work\React-native\Bakish\Bakish\ios\Bakish\AppDelegate.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 4, 9
"k:\Work\React-native\Bakish\Bakish\ios\Bakish\AppDelegate.mm", "Objective-C++", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 24, 109
"k:\Work\React-native\Bakish\Bakish\ios\Bakish\Images.xcassets\AppIcon.appiconset\Contents.json", "JSON", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
"k:\Work\React-native\Bakish\Bakish\ios\Bakish\Images.xcassets\Contents.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"k:\Work\React-native\Bakish\Bakish\ios\Bakish\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 1, 1, 48
"k:\Work\React-native\Bakish\Bakish\ios\Bakish\main.m", "Objective-C", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"k:\Work\React-native\Bakish\Bakish\metro.config.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 18
"k:\Work\React-native\Bakish\Bakish\package-lock.json", "JSON", 26716, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26717
"k:\Work\React-native\Bakish\Bakish\package.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47
"k:\Work\React-native\Bakish\Bakish\src\screens\HomeScreen\HomeScreen.tsx", "TypeScript React", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"k:\Work\React-native\Bakish\Bakish\src\screens\HomeScreen\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"k:\Work\React-native\Bakish\Bakish\src\theme\colors.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"k:\Work\React-native\Bakish\Bakish\src\theme\fonts.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"k:\Work\React-native\Bakish\Bakish\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 76, 9, 106
"Total", "-", 26826, 205, 21, 26, 53, 61, 100, 165, 85, 28, 11, 288, 21, 68, 385, 283, 28626